TweetID,HandLabel,AnnotatorID
342802869503795202,Neutral,115
342803327731511297,Positive,104
342804053870403584,Positive,104
342806472557723648,Positive,104
342808150837182464,Positive,111
342809025034981376,Positive,111
342809699818823680,Positive,104
342814385049333760,Positive,111
342814505203548160,Positive,106
342814541840797696,Positive,104
342814697852129280,Positive,111
342814755192459264,Neutral,114
342814861463523328,Positive,111
342815321717104641,Positive,104
342815342722158593,Neutral,114
342815554039590912,Neutral,106
342815579549335552,Positive,111
342815971796451328,Positive,114
342815972282990592,Positive,113
342816272498700289,Positive,106
342820214318178305,Neutral,114
342822251286122497,Neutral,109
342822277068517376,Neutral,106
342822337785237505,Positive,115
342822584326438912,Positive,104
342823874016198656,Negative,106
342823900180275201,Positive,104
342823959257026563,Negative,114
342824214329450496,Negative,109
342824396802641920,Negative,106
342824408597008385,Positive,104
342824588335513601,Neutral,115
342825017035341826,Neutral,115
342825041844645888,Negative,114
342825106399182849,Positive,113
342825243435495424,Negative,115
342825251190751232,Neutral,114
342825356497145856,Neutral,109
342825720243965953,Positive,113
342825774283366401,Neutral,106
342825823218319360,Positive,104
342826028886024193,Positive,115
342826479970828290,Positive,104
342827061179711488,Positive,104
342827086974689280,Positive,115
342827162266632195,Positive,113
342827400981270528,Neutral,106
342830950415228929,Positive,111
342830950830448643,Neutral,109
342833340996538368,Neutral,106
342833364618842113,Positive,111
342833445413744640,Neutral,114
342833555963015168,Positive,111
342834808440905728,Positive,104
342835557812023296,Positive,104
342836392126210048,Positive,106
342840104995405824,Positive,109
342845927255584768,Positive,104
342855580693712896,Positive,106
342858889953411072,Positive,114
342860101608161280,Positive,106
342865342143545344,Positive,114
342866819016704000,Positive,115
342867603561267201,Neutral,115
342867928636604417,Neutral,106
342868706931638273,Positive,106
342869339894083584,Positive,115
342871421443252225,Positive,111
342874732045168640,Positive,115
342877343234265088,Positive,111
342878202718482433,Positive,111
342878859596791809,Positive,106
342879278607781888,Neutral,106
342882215232942082,Positive,111
342883390795681792,Positive,111
342883627450908672,Positive,111
342885483896004608,Positive,104
342885540972089344,Positive,115
342888322718375937,Neutral,109
342888457305214976,Neutral,103
342888478100557824,Positive,111
342888858565898240,Neutral,115
342890024091668480,Positive,115
342890856623271936,Neutral,115
342890856958808066,Positive,115
342891022025621504,Neutral,106
342891344437600258,Neutral,106
342891455997685761,Neutral,103
342892092315541504,Positive,104
342892101262004224,Positive,115
342892110875357184,Positive,115
342892173563396096,Neutral,103
342892923374948352,Neutral,109
342892952928014336,Neutral,106
342892980597837825,Neutral,104
342893530265571328,Neutral,115
342893566806343680,Positive,103
342893586976739329,Positive,111
342893644845576193,Positive,111
342894331075653632,Positive,106
342894684873576448,Neutral,109
342894701222965248,Positive,106
342894759024672768,Positive,111
342894819393302528,Positive,104
342894899416428544,Negative,115
342894970807664640,Neutral,103
342894983784849408,Positive,111
342895490142187520,Positive,104
342895886973693952,Negative,103
342896184324681728,Neutral,109
342896507739066368,Positive,104
342896619232034816,Positive,111
342897361787437056,Positive,103
342897480997928960,Negative,106
342897660656771072,Positive,103
342897692390862848,Positive,111
342898273633320960,Negative,106
342898489572864000,Neutral,115
342898495004491776,Negative,115
342898541594824704,Positive,103
342898785850126336,Positive,115
342898856876445696,Neutral,109
342898865353146369,Neutral,106
342899064037318657,Positive,115
342899067086589952,Positive,111
342899133083955200,Positive,109
342899249404575745,Positive,115
342899443177234433,Positive,115
342900425877508096,Positive,111
342900570346094592,Neutral,103
342900717733945344,Positive,111
342900863624429568,Positive,115
342901001923215360,Neutral,106
342901004339126272,Neutral,104
342901015911227392,Positive,115
342901498285539331,Positive,103
342901669547356160,Positive,115
342901675322912768,Neutral,103
342901698790055936,Neutral,109
342901700362907648,Neutral,106
342902076990443520,Neutral,115
342902670018871296,Positive,115
342902683214155778,Positive,115
342902690373857280,Neutral,103
342902714243612672,Neutral,106
342902815905165312,Positive,111
342903036320022528,Positive,111
342903106591412224,Positive,115
342903192008396800,Positive,111
342903193824546816,Neutral,115
342903209536413696,Positive,115
342903331934568449,Neutral,109
342903513036247040,Positive,115
