TweetID,HandLabel,AnnotatorID
321271042414874000,Neutral,97
321272011445907000,Negative,40
321275998068953000,Negative,97
321282076894695000,Positive,40
321282944897523000,Neutral,97
321322615803346000,Negative,97
321342477338570000,Neutral,98
321354975538196000,Negative,40
321373354953154000,Negative,97
321496051594952000,Negative,97
321528387984302000,Negative,97
321529456848158000,Neutral,98
321530034991017000,Negative,97
321542788049166000,Negative,98
321549803072942000,Negative,40
321550616444928000,Negative,97
321576849249533000,Neutral,98
321594858177433000,Negative,97
321610454902378000,Neutral,98
321640902240133000,Negative,40
321671517299695000,Neutral,97
321671590796480000,Negative,40
321671636094951000,Neutral,97
321671683423498000,Neutral,98
321671726704500000,Positive,97
321671732282916000,Negative,98
321672178816917000,Positive,40
321672295510835000,Negative,97
321672602198372000,Negative,40
321672658762756000,Positive,97
321672712110108000,Negative,40
321672715356471000,Negative,97
321672731261284000,Positive,98
321672784575082000,Negative,97
321672961591492000,Neutral,98
321673059956297000,Negative,40
321673109243584000,Negative,97
321673311270600000,Positive,97
321673323471835000,Positive,40
321673497006993000,Neutral,97
321673507878600000,Negative,98
321673553974005000,Negative,97
321673608504160000,Positive,98
321673687147364000,Negative,40
321673695326261000,Neutral,97
321673706453729000,Neutral,40
321673743879507000,Positive,97
321673839299936000,Neutral,97
321673898569654000,Neutral,98
321673906425581000,Negative,97
321673999295844000,Neutral,98
321674257274896000,Positive,40
321674308994875000,Negative,97
321674442101100000,Positive,40
321674695604838000,Neutral,98
321674701795647000,Neutral,97
321674934722117000,Negative,98
321675005777821000,Positive,40
321675170014183000,Negative,40
321675427351511000,Positive,40
321675560277389000,Neutral,97
321675623988854000,Negative,98
321675935529185000,Positive,98
321676080400441000,Neutral,97
321676223216496000,Neutral,40
321676410068557000,Negative,97
321676410630569000,Negative,40
321676557427019000,Positive,97
321676740923641000,Neutral,98
321677199101026000,Neutral,98
321677307678949000,Negative,40
321677342764331000,Neutral,97
321677933611716000,Positive,97
321678087471394000,Negative,40
321678128483282000,Neutral,97
321678395215847000,Negative,98
321678802214322000,Neutral,98
321679155286638000,Negative,40
321679339815051000,Neutral,97
321679536506937000,Neutral,97
321679631390490000,Negative,97
321680099772596000,Negative,98
321680142579662000,Positive,97
321680157758865000,Negative,40
321680220312723000,Positive,97
321680329389772000,Negative,40
321680333416321000,Positive,97
321680380488994000,Negative,40
321680504858497000,Negative,97
321680819922014000,Negative,98
321680906807042000,Negative,98
321681008825077000,Positive,40
321681193823252000,Neutral,97
321681285141630000,Negative,40
321681309573455000,Neutral,97
321681397960024000,Positive,98
321681770108047000,Neutral,98
321681942510714000,Negative,40
321682066066534000,Positive,97
321682484888739000,Negative,40
321682826212827000,Positive,98
321682878327033000,Positive,97
321683103598907000,Negative,40
321683123005968000,Positive,97
321683138382282000,Positive,40
321683242161942000,Positive,97
321683287519137000,Positive,40
321683545938616000,Positive,98
321683845911040000,Negative,98
321683907315630000,Positive,40
321684017407733000,Neutral,97
321684055366184000,Negative,40
321684081064689000,Positive,97
321684121082552000,Negative,40
321684173431664000,Positive,97
321684378780573000,Positive,97
321684395444543000,Neutral,98
321684396702826000,Neutral,40
321684407125671000,Positive,97
321684474356191000,Negative,97
321684573320802000,Neutral,40
321684718418542000,Positive,97
321684894730297000,Positive,98
321684901189537000,Positive,97
321684929152958000,Neutral,98
321684989567725000,Neutral,97
321685057427361000,Positive,40
321685087093678000,Neutral,97
321685130475356000,Neutral,40
321685139866398000,Neutral,97
321685209034653000,Neutral,98
321685209886097000,Positive,97
321685392992645000,Neutral,40
321685476929073000,Neutral,97
321685487570014000,Positive,40
321685629484273000,Positive,97
321685654998237000,Neutral,40
321685690352025000,Neutral,97
321685721985458000,Negative,98
321685848083021000,Negative,97
321685900012707000,Negative,98
321685997828046000,Positive,40
321686168137777000,Negative,40
321686247594655000,Positive,97
321686248785862000,Positive,40
321686510673985000,Negative,98
321686732233900000,Negative,97
321686733974552000,Neutral,98
321686892250800000,Negative,40
321687090041585000,Neutral,40
321687255389454000,Negative,40
321687433634779000,Neutral,97
321687589767753000,Positive,98
321687794416242000,Negative,97
321687884249849000,Neutral,98
321687910959157000,Negative,40
321688298231844000,Positive,40
321688384869384000,Neutral,97
321688627312742000,Positive,40
321688830463840000,Neutral,97
321689122009911000,Positive,98
321689326943625000,Neutral,40
321689372112064000,Positive,40
321689463774408000,Negative,97
321689574172663000,Positive,40
321689620070928000,Negative,97
321689669161070000,Positive,98
321689742301351000,Neutral,97
321689930948546000,Neutral,98
321690153452204000,Positive,40
321690260050423000,Positive,40
321690284549365000,Neutral,97
321690516817338000,Neutral,97
321690597834493000,Negative,98
321690714767495000,Neutral,97
321691099641032000,Negative,40
321691128757886000,Positive,97
321691145287659000,Negative,40
321691211385683000,Positive,97
321691240192163000,Negative,97
321691288565059000,Negative,98
321691790002511000,Positive,40
321691833082200000,Negative,97
321691934391431000,Neutral,97
321691947771256000,Negative,98
321691950807924000,Positive,97
321692170589442000,Neutral,98
321692264562827000,Positive,40
321692417348739000,Positive,97
321692566712090000,Negative,97
321692569123844000,Positive,98
321692626694856000,Positive,97
321692713789583000,Positive,98
321692719061823000,Positive,40
321693147874869000,Positive,97
321693408055934000,Positive,40
321693464083460000,Neutral,98
321693554030297000,Positive,97
321693774906523000,Negative,98
321693797694205000,Positive,40
321694204717826000,Positive,40
321694362654343000,Negative,97
321694432795713000,Positive,40
321694442354532000,Neutral,97
321694444527173000,Positive,98
321694445798055000,Negative,97
321694450378231000,Neutral,98
321694515025022000,Positive,40
321694564299730000,Positive,40
321694732550025000,Positive,97
321694856177139000,Negative,97
321694860618895000,Positive,98
321694862565052000,Neutral,97
321695132644671000,Negative,98
321695318943084000,Positive,40
321695531405541000,Negative,40
321695575542218000,Neutral,97
321695702189211000,Neutral,97
321695738578997000,Negative,98
321695761484095000,Negative,97
321695820657344000,Negative,98
321695897408897000,Neutral,40
321695960000499000,Positive,97
321696039570644000,Negative,40
321696055227985000,Negative,97
321696093404532000,Positive,98
321696256294526000,Neutral,97
321696304734547000,Neutral,98
321696306030592000,Positive,40
321696376880783000,Positive,40
321696427396964000,Neutral,97
321696477900570000,Positive,40
321696526424481000,Neutral,97
321696561413361000,Positive,98
321696930419843000,Neutral,98
321696988938776000,Negative,40
321697180102561000,Positive,97
321697395173904000,Negative,40
321697529332899000,Neutral,98
321697532793204000,Positive,97
321697599612674000,Neutral,98
321697729212448000,Negative,40
321698193970692000,Positive,97
321698324476485000,Negative,40
321698341400502000,Neutral,97
321698556476014000,Positive,99
321698654098440000,Negative,97
321698725951053000,Negative,99
321698846960918000,Positive,40
321699272544382000,Neutral,97
321699285865488000,Negative,40
321699304395919000,Positive,97
321699603231670000,Neutral,97
321699605010075000,Negative,99
321699755283599000,Positive,40
321699971864870000,Positive,40
321700092782456000,Negative,97
321700151720824000,Negative,97
321700329861283000,Negative,97
321700370768347000,Neutral,99
321700391794393000,Negative,40
321700500737241000,Positive,40
321700544118935000,Neutral,97
321700876781760000,Neutral,97
321701341170913000,Negative,97
321701399140372000,Positive,99
321701441876156000,Negative,40
321701517910499000,Positive,40
321701540953997000,Negative,97
321701641915088000,Positive,40
321701808433147000,Negative,97
321702531875078000,Neutral,99
321702679296491000,Positive,40
321702680554778000,Neutral,97
321702833663668000,Negative,40
321703002618593000,Neutral,97
321703101193138000,Neutral,97
321703213831180000,Neutral,99
321703264196390000,Positive,40
321703277655887000,Positive,40
321703443930685000,Positive,97
321703466877726000,Negative,40
321703620108251000,Negative,97
321703711141416000,Neutral,97
321703726383509000,Neutral,99
321703914850377000,Positive,40
321704136821313000,Positive,40
321704187400445000,Negative,97
