TweetID,HandLabel,AnnotatorID
481897799936901122,Positive,49
481897799936901122,Neutral,49
481897894220685312,Negative,49
481897894220685312,Negative,49
481897964797820928,Positive,49
481897964797820928,Positive,49
481898133820293123,Negative,49
481898363479392256,Positive,49
481898417686585344,Positive,49
481898457880604673,Negative,49
481898516646993920,Positive,49
481898587614625792,Positive,49
481898602433110017,Negative,49
481898602433110017,Negative,49
481898687367749632,Positive,49
481898687367749632,Negative,49
481898689548800000,Neutral,49
481898804007170048,Positive,49
481898951529213952,Positive,49
481898957699035136,Positive,49
481898966251233280,Positive,49
481899033725009921,Positive,49
481899131515179008,Neutral,49
481899273609818113,Neutral,49
481899273609818113,Neutral,49
481899452203274243,Negative,49
481899516938162176,Positive,49
481899603336650752,Neutral,49
481899740922404864,Negative,49
481899851974967298,Negative,49
481899890529026049,Negative,49
481900011652128768,Positive,49
481900011652128768,Positive,49
481900115511484416,Positive,49
481900195538829312,Positive,49
481900206532100097,Positive,49
481900206532100097,Positive,49
481900392151011328,Negative,49
481900423662829568,Neutral,49
481900423662829568,Positive,49
481900616152006656,Positive,49
481900842258558976,Negative,49
481900842258558976,Negative,49
481900853175930881,Neutral,49
481900853175930881,Neutral,49
481900944612147200,Positive,49
481900962396004352,Neutral,49
481900962396004352,Negative,49
481901007182766080,Positive,49
481901065559080961,Positive,49
481901067329081344,Positive,49
481901245394083842,Positive,49
481901358686429187,Neutral,49
481901359785340929,Positive,49
481901447328841728,Positive,49
481901502634930176,Positive,49
481901553947668480,Positive,49
481901573728378880,Positive,49
481901643509014528,Positive,49
481901694604046336,Positive,49
481901783136997376,Neutral,49
481901927719260160,Positive,49
481902072669818880,Negative,49
481902072669818880,Neutral,49
481902216434167808,Negative,49
481902306594930688,Negative,49
481902306594930688,Negative,49
481902340270993408,Positive,49
481902340270993408,Positive,49
481902420705173504,Negative,49
481902420705173504,Neutral,49
481902557644607488,Positive,49
481902642763821056,Positive,49
481902680777195521,Neutral,49
481902765908975616,Neutral,49
481903320072585217,Neutral,49
