TweetID,HandLabel,AnnotatorID
381518184895225856,Negative,4
381518184895225856,Neutral,4
381518192709206016,Negative,4
381518194504392704,Positive,4
381518195116765184,Neutral,4
381518195422953472,Neutral,4
381518197973086208,Negative,4
381518198170214400,Positive,4
381518200615088128,Neutral,4
381518202347327488,Neutral,4
381518203543117824,Positive,4
381518204964990977,Neutral,4
381519306401411072,Negative,4
381519307013758976,Negative,4
381519308717060096,Positive,4
381519309501378561,Neutral,4
381519310109171713,Neutral,4
381519311309119488,Neutral,4
381519311396802560,Neutral,4
381519312646713344,Negative,4
381519312949088256,Neutral,4
381519314404524032,Negative,4
381519314404524032,Negative,4
381519315360423936,Neutral,4
381519315360423936,Neutral,4
381519315973181440,Neutral,4
381519854756712448,Neutral,4
381519860620341248,Positive,4
381519862432288768,Positive,4
381519863527010304,Neutral,4
381519865330544640,Negative,4
381519865330544640,Negative,4
381519866660134912,Positive,4
381519866689499136,Neutral,4
381519867523768320,Positive,4
381519867821953024,Neutral,4
381519869440970752,Positive,4
381519869444751360,Negative,4
381519870783139840,Positive,4
381519971387727872,Neutral,4
381519971618004992,Neutral,4
381519972117544962,Neutral,4
381520035149541376,Negative,4
381520037028560896,Neutral,4
381520037028560896,Neutral,4
381520038509166592,Positive,4
381520040052289536,Positive,4
381520040056483841,Negative,4
381520041499688960,Negative,4
381520041499688960,Negative,4
381520041646501888,Negative,4
381520041646501888,Neutral,4
381520042405277699,Positive,4
381520042598629376,Neutral,4
381520045941473281,Neutral,4
381520047518527488,Positive,4
381520049162301440,Positive,4
381520049162301440,Negative,4
381520049976389633,Neutral,4
381520052912013312,Neutral,4
381520053692530689,Negative,4
381520214145650688,Positive,4
381520214145650688,Positive,4
381520214635978752,Positive,4
381520215122915328,Negative,4
381520216322478080,Neutral,4
381520219585273856,Negative,4
381520219899822080,Neutral,4
381520220004700161,Neutral,4
381520220138926081,Neutral,4
381520221766705153,Neutral,4
381520222173560832,Neutral,4
381520601590300672,Neutral,4
381520604353941504,Positive,4
381520607940452353,Positive,4
381520608288595968,Neutral,4
381520608921919488,Positive,4
381520610062786560,Negative,4
381520610444079104,Positive,4
381520611409141760,Neutral,4
381520612034088960,Neutral,4
381520613153579009,Neutral,4
381520613271437312,Neutral,4
381520613333938176,Positive,4
381520615834140672,Positive,4
381520617608343552,Positive,4
381520620577513473,Neutral,4
381520621533818880,Positive,4
381520623014797312,Neutral,4
381521129610821632,Neutral,4
381521129758023680,Negative,4
381521133935132672,Positive,4
381521136053673986,Neutral,4
381521137093459968,Negative,4
381521137093459968,Negative,4
381521137253249024,Positive,4
381521138419249153,Negative,4
381521138998054912,Negative,4
381521140956815360,Positive,4
381521143372722176,Positive,4
381521145755103232,Negative,4
381521147701256192,Positive,4
381521148086734848,Negative,4
381521148451635200,Positive,4
381521148829515776,Positive,4
381521151295758336,Neutral,4
381521278144102400,Neutral,4
381521280010555392,Negative,4
381521280010555392,Negative,4
381521280044126208,Positive,4
381521280706420737,Neutral,4
