TweetID,HandLabel,AnnotatorID
394804506749566976,Neutral,21
394805209844940801,Negative,21
394805769045950464,Positive,26
394806328956162048,Positive,26
394806773628284928,Positive,25
394807402400579584,Positive,27
394807402400579584,Positive,26
394807871835103232,Neutral,26
394808973947592704,Neutral,21
394810048590798848,Negative,21
394810474417496064,Neutral,26
394810943567167488,Positive,26
394811803441848320,Positive,26
394812266891444224,Neutral,26
394813114576695296,Neutral,21
394814494578180096,Neutral,26
394814984602931201,Negative,26
394816301946138624,Negative,26
394818612608765952,Neutral,26
394819036522876928,Positive,26
394819036522876928,Neutral,27
394819586656174082,Positive,25
394820076223754241,Negative,26
394820698436567040,Neutral,26
394821630385324032,Positive,21
394822233660850176,Positive,21
394822498862129153,Positive,27
394822498862129153,Positive,26
394823036849098752,Positive,26
394823036849098752,Positive,27
394823422644985856,Neutral,25
394823838271168512,Neutral,26
394824165221748736,Negative,26
394825088995848192,Positive,21
394826052750422017,Neutral,21
394826413351514112,Neutral,26
394826413351514112,Neutral,27
394826782471626752,Positive,26
394827710994071552,Neutral,26
394828037109583872,Neutral,26
394828777353510912,Negative,21
394830050127659009,Neutral,26
394830430232666112,Neutral,26
394831150071689216,Negative,26
394832421620678656,Positive,21
394833680440786944,Negative,26
394834074768269313,Positive,27
394834074768269313,Positive,26
394834455699144704,Neutral,25
394834856162521089,Positive,26
394835275706167296,Neutral,26
394836031868264448,Neutral,21
394836923551715328,Negative,21
394837425807032320,Neutral,26
394837688303751168,Negative,26
394838894879191040,Positive,26
394840015022194689,Positive,21
394840955691352066,Neutral,21
394841422773239808,Neutral,26
394841853994237952,Positive,27
394841853994237952,Positive,26
394842406216294400,Positive,25
394843307299201024,Positive,26
394844294982668288,Neutral,21
394844916016513024,Negative,21
394845367311011840,Neutral,26
394845838419050496,Neutral,26
394846229567262720,Negative,25
394846694455533568,Negative,26
394846982222532608,Negative,26
394847732705558528,Positive,21
394848467123974145,Positive,21
394848799962963968,Negative,26
394849186408976385,Negative,26
394849660831293440,Negative,25
394849660831293440,Negative,27
394850016398815232,Negative,26
394850455886368769,Neutral,26
394851259565768704,Negative,21
394851879181901824,Positive,27
394852394301149184,Negative,21
394852935055597568,Positive,26
394853363114053632,Neutral,26
394853680656416768,Negative,25
394854189777817600,Neutral,26
394854189777817600,Neutral,27
394854645686075392,Neutral,26
394855464108048384,Neutral,21
394855978065494017,Positive,27
394856802464301056,Negative,26
394857139136917504,Neutral,26
394857975078072320,Positive,26
394859221155860480,Neutral,21
394860643750129664,Neutral,26
394861139479511040,Positive,26
394861502399643648,Negative,25
394861945658281984,Negative,26
394862432268877824,Negative,26
394863407608119296,Neutral,21
394864354358616064,Negative,21
394864693481062400,Neutral,26
394865074793230337,Positive,26
394865431065808896,Negative,25
394865937389596672,Negative,26
394867562090995712,Negative,21
394868097691443200,Negative,21
394868421789483008,Neutral,26
394868684520697856,Negative,26
394869076340011008,Neutral,25
394869579601936384,Negative,26
394869888772485121,Neutral,26
394870762311802880,Neutral,21
394871612514000896,Neutral,21
394872013690769409,Negative,26
394872487827492864,Neutral,26
394872790437732352,Positive,27
394873170299482113,Negative,26
394873618490224640,Negative,26
394874219445878785,Neutral,21
394875083254431744,Neutral,21
394875466428846080,Positive,26
394876044089376769,Positive,27
394876355726553088,Positive,26
394876662590210048,Neutral,26
394877365429747712,Neutral,21
394878217443479552,Negative,21
394878527276716032,Neutral,26
394878856915476480,Negative,26
394879226580463616,Positive,27
394879624100184064,Negative,26
394880020742541312,Negative,26
394881306477461504,Negative,21
394881698925527040,Neutral,26
394882067655561216,Negative,26
394882678497247232,Positive,26
394883006378545152,Neutral,26
394883546235797504,Positive,21
394884292289257472,Negative,26
394885461162082305,Negative,26
394885749885390848,Neutral,26
394886407875198978,Positive,21
394887557453856769,Neutral,26
394887557453856769,Neutral,27
394888398240243712,Positive,27
394888398240243712,Positive,27
394889293849972736,Neutral,26
394889956436369408,Positive,21
394891044975693824,Negative,26
394891376007340033,Neutral,26
394891568760782848,Positive,27
394891917625798656,Neutral,26
394892207926157312,Neutral,26
394892828469260289,Neutral,21
394893596820000768,Neutral,21
394893799367139328,Positive,26
394894116158713856,Positive,26
394894371713458176,Positive,27
394894891412516865,Negative,26
394895567223914496,Neutral,21
394896088798609408,Neutral,21
394896361357074432,Neutral,26
394896736197435392,Positive,26
394897473522503680,Negative,26
394897738741334017,Neutral,26
394899013046386688,Negative,26
394899013046386688,Positive,27
394899360745398272,Neutral,26
394899967313461248,Negative,26
394900284520288257,Neutral,26
394900904266444800,Neutral,21
394901685597765632,Negative,26
394901685597765632,Neutral,27
394902028742574081,Neutral,26
394902361455738880,Positive,27
394903000692846593,Neutral,26
394903526322610176,Neutral,21
394904174464598016,Negative,21
394904487279603713,Positive,26
394904737382150144,Neutral,26
394905099170222080,Positive,27
394905528037826561,Negative,26
394906377996746752,Negative,21
394907015409319937,Neutral,26
394907365247438849,Neutral,26
394907696761028608,Negative,27
394908176593596416,Negative,26
394908431041044480,Neutral,26
394909014519459840,Positive,21
394909919545020416,Negative,26
394910127545143296,Negative,26
394910679821320192,Negative,26
394910930229657600,Positive,26
394912053774647296,Negative,21
394912412995817472,Negative,26
394912698439196672,Negative,26
394913183921864704,Neutral,26
394914805225893888,Negative,26
394915010914578432,Neutral,26
394915221170421760,Positive,27
394915471830810624,Positive,26
394915744812515328,Neutral,26
394916877899923457,Positive,27
394916877899923457,Neutral,21
394917075803996161,Positive,26
394917352741277696,Positive,26
394917687576756224,Positive,27
394917885300445184,Negative,26
394918136480563201,Positive,27
394918136480563201,Positive,26
394919392581914624,Positive,26
394919630646411264,Neutral,26
394920020171816960,Neutral,26
394920223608147968,Negative,26
394920656158334977,Positive,21
394921027035488256,Neutral,21
394921243381886976,Negative,26
394921533401202688,Positive,26
394921533401202688,Neutral,27
394921721678938112,Positive,27
394921934146002945,Negative,26
394922122948005888,Positive,26
394922584674168832,Negative,21
394923290265145344,Neutral,26
394923485237374976,Negative,26
394923719534977024,Negative,27
394923949600960512,Neutral,26
394924189489975297,Neutral,26
394924546371092480,Neutral,27
394925019627003904,Positive,21
394925219665567744,Neutral,26
394925462910029824,Negative,26
394925737767350272,Positive,27
394925958102548480,Negative,26
394926185894801408,Neutral,26
394926604998438912,Negative,21
394927146100985856,Negative,21
394927440629227520,Neutral,26
394927659563499520,Negative,26
394927897552887808,Positive,27
394928146169868288,Positive,26
394928424680038400,Neutral,26
394928637075812353,Neutral,27
394928913430118401,Positive,21
394929423373197312,Neutral,21
394929793033977856,Positive,26
394929982863990784,Positive,26
394930227421274112,Positive,27
394930791073214464,Negative,26
394931081784221696,Positive,21
394932188673998848,Neutral,26
394932446103220225,Neutral,26
394933072749408256,Neutral,26
394933405051518976,Neutral,26
394933680461737985,Neutral,21
394934789964570624,Neutral,26
394935008047431682,Neutral,26
394935933247561728,Negative,21
394936117637562368,Neutral,21
394936868145754112,Negative,26
394937091173650432,Positive,26
394937278407393280,Positive,27
394937498394062849,Positive,26
394938255126179841,Neutral,21
394938519832899584,Positive,27
394938807705149440,Neutral,21
394939226464477184,Negative,26
394939438251659264,Positive,26
394939670284754945,Positive,27
394940150117330944,Neutral,26
394940444876218369,Positive,21
394941484891643905,Neutral,26
394941701741379585,Neutral,26
394942099927621634,Neutral,26
394942419042447360,Neutral,26
394942719384383488,Negative,21
394942920618704896,Neutral,21
394943464527245313,Negative,21
394943772259123200,Neutral,26
394944040967237632,Neutral,26
394944242151591936,Positive,27
394944495881445376,Positive,27
394944495881445376,Negative,26
394944675921940482,Negative,26
394944928159002624,Positive,21
394945227317706752,Negative,21
394945860867735553,Negative,21
394946208424136705,Neutral,26
394946408949616640,Negative,26
394946704895901697,Positive,27
394946969212551168,Negative,26
394947210011738113,Neutral,26
394947461221199872,Negative,21
394947461221199872,Positive,27
394948452955992064,Neutral,26
394948452955992064,Neutral,27
394949278571184128,Negative,26
394949641596567552,Positive,26
394950260562591745,Negative,21
394951108038119424,Neutral,26
394951347654893568,Positive,29
394951933485940736,Positive,26
394952253825507328,Neutral,26
394952410004602880,Negative,21
394952702012059649,Neutral,21
394953339730792448,Negative,21
394953512867467264,Positive,26
394954233365024769,Positive,27
394954615990411264,Positive,26
394954846899798016,Neutral,26
394955076378181632,Negative,21
394955393530490880,Negative,21
394955964384030720,Neutral,21
394956181523152898,Neutral,26
394956497622286336,Negative,29
394956756201529344,Positive,27
394957025542934528,Negative,26
394957291889233921,Negative,26
394959015748190208,Negative,26
394959302076530689,Negative,29
394959608084967424,Positive,27
394959880073011200,Neutral,27
394959880073011200,Positive,26
394960134578782208,Negative,26
394960468798083072,Neutral,21
394960838039052288,Negative,21
394961811839389697,Negative,26
394962169634500608,Negative,29
394962772389535744,Positive,26
394963145258975233,Neutral,26
394963572474007552,Neutral,21
394964981944709120,Neutral,26
394965293312643072,Positive,29
394966007758204928,Positive,26
394966934896136192,Positive,21
394967293094273025,Neutral,21
394967931131793408,Positive,21
394968270769774593,Neutral,26
394968714699100160,Positive,29
394969444382171136,Negative,26
394969858447642624,Positive,26
394970170487492608,Negative,21
394970565326667776,Positive,21
394971789295910912,Neutral,26
394972147850158081,Negative,29
394972647936630785,Positive,27
394972647936630785,Positive,27
394973647062196224,Neutral,26
394976202521604096,Neutral,26
394976734288027648,Negative,29
394977321343791104,Positive,27
394977973951930368,Neutral,26
394978661931450368,Neutral,26
394979282742943745,Positive,21
394979875737841664,Neutral,21
394980835855564800,Negative,21
394981634208202752,Neutral,26
394982417335074816,Negative,29
394983986147360768,Positive,26
394984606531067905,Neutral,26
394985530464538624,Neutral,21
394986357459648512,Neutral,21
394987129643597824,Negative,21
394988696149434369,Neutral,21
394989560121524224,Negative,26
394990930819694592,Positive,27
394991973028732928,Negative,26
394992635015737344,Negative,26
394993637337333760,Neutral,21
394995426468061184,Positive,21
394997414265761792,Positive,26
394997414265761792,Positive,27
394999133280280577,Neutral,29
395000653694898177,Positive,27
395004407181352960,Neutral,26
395006029832138752,Positive,21
395007662993076225,Neutral,21
395007662993076225,Positive,27
395009290349854720,Neutral,21
395011538580676608,Negative,21
395014784808005632,Positive,26
