TweetID,HandLabel,AnnotatorID
506237440089419776,Negative,62
506237706373177344,Negative,62
506238234108514304,Neutral,62
506238234108514304,Neutral,62
506238372743233536,Positive,62
506238603127566336,Negative,62
506238823568015360,Positive,62
506239150312665089,Neutral,62
506239471999021056,Neutral,62
506239471999021056,Neutral,62
506240072824279040,Neutral,62
506240399439319041,Positive,62
506240572118827008,Neutral,62
506240572118827008,Neutral,62
506240901698846720,Positive,62
506241063640915968,Negative,62
506241953051459585,Neutral,62
506241981723332608,Neutral,62
506242041396068352,Positive,62
506242041396068352,Positive,62
506242396032864256,Neutral,62
506242396032864256,Neutral,62
506242624437886976,Positive,62
506242624437886976,Neutral,62
506242958195425280,Neutral,62
506242958195425280,Neutral,62
506243180757807104,Positive,62
506243543346974720,Neutral,62
506243935514398720,Neutral,62
506243935514398720,Neutral,62
506244070055112705,Negative,62
506244231087022080,Neutral,62
506244392936800256,Negative,62
506244392936800256,Negative,62
506244597480423424,Negative,62
506244755530211328,Neutral,62
506244820365369344,Negative,62
506244830507573248,Positive,62
506244936870952960,Neutral,62
506245055674585089,Positive,62
506245055674585089,Positive,62
506245460970205184,Negative,62
506245540678746112,Neutral,62
506245960717312000,Negative,62
506246029969489920,Positive,62
506246330608795648,Positive,62
506246450704289792,Negative,62
506247047813799936,Negative,62
506247256199409664,Negative,62
506247570071752704,Positive,62
506247661587267584,Negative,62
506247739202883584,Positive,62
506248043734528001,Negative,62
506248043734528001,Negative,62
506248377940852736,Neutral,62
506248823623401472,Negative,62
506248823623401472,Neutral,62
506249098148978688,Neutral,62
506249202696224768,Negative,62
506249202696224768,Negative,62
506249381088362497,Neutral,62
506249641487532032,Neutral,62
506249641487532032,Neutral,62
506249758282113024,Neutral,62
506249895461007360,Neutral,62
506250341890154496,Negative,62
506250495703654400,Positive,62
506250495703654400,Positive,62
506250712209448960,Negative,62
506251179492261888,Negative,62
506251594623877120,Neutral,62
506251625804341248,Negative,62
506251717730897921,Neutral,62
506252122158288896,Neutral,62
506252265066217473,Neutral,62
506252442716340225,Positive,62
506252688741261312,Negative,62
506252708735897600,Positive,62
506253192028778496,Neutral,62
506253192028778496,Neutral,62
506253407146213376,Positive,62
506253705008910336,Negative,62
506253808511746048,Neutral,62
506254102062723072,Negative,62
506254525830025216,Negative,62
506255511734734849,Negative,62
506256067341606912,Neutral,62
506256305536122880,Negative,62
506256560939876352,Negative,62
506257295815479296,Neutral,62
506258021450661889,Negative,62
506258021450661889,Negative,62
506258846411923457,Neutral,62
506259100834205696,Neutral,62
506259100834205696,Negative,62
506259571703570433,Neutral,62
506259768269635585,Neutral,62
506260738093350912,Negative,62
506261075122479105,Negative,62
506261405184831488,Neutral,62
506262026541600768,Positive,62
506262207228039168,Neutral,62
506263286892212224,Neutral,62
506263528144007168,Negative,62
506263931930046464,Positive,62
506264335384338432,Negative,62
506265431389503488,Positive,62
506266061826977792,Neutral,62
506266294984118273,Negative,62
506266890709532672,Negative,62
506267306822234112,Neutral,62
506268309223137280,Neutral,62
506268364302323713,Neutral,62
506270288846147584,Neutral,62
506270418898931712,Negative,62
506270418898931712,Negative,62
506271231495008256,Positive,62
506272094142087168,Neutral,62
506272343174688768,Neutral,62
506272691532627968,Negative,62
506272845195128832,Neutral,62
506272907023376385,Neutral,62
506273091404963840,Negative,62
506273194127679488,Negative,62
506273477671022592,Neutral,62
506273859658846208,Negative,62
506274081683959808,Neutral,62
506274415727099905,Negative,62
506274415727099905,Negative,62
506275077403713536,Neutral,62
506275077403713536,Neutral,62
506275983952203776,Negative,62
506276119062917120,Negative,62
506276460987183104,Negative,62
506277023141351424,Negative,62
506277178930384897,Positive,62
506277281376251904,Negative,62
506277500369248257,Positive,62
506277705500098560,Negative,62
506277739738173440,Neutral,62
506277878984892416,Negative,62
506277982454177793,Neutral,62
506278045431631873,Positive,62
506278334133964800,Positive,62
506278621171171328,Positive,62
506278675600637952,Neutral,62
506279068162334720,Neutral,62
506279202195509248,Positive,62
506279399457832960,Neutral,62
506279725430763520,Neutral,62
506280655131770881,Negative,62
506280777404141568,Neutral,62
506280908861997056,Neutral,62
506280908861997056,Neutral,62
506280962565873664,Positive,62
506281233903808512,Neutral,62
506281399541067777,Neutral,62
506281412350476288,Neutral,62
506281583188643841,Neutral,62
506281834448445440,Negative,62
506282109234069504,Neutral,62
506282415703486465,Neutral,62
506282500235476993,Positive,62
506282591763578880,Neutral,62
506282835104501760,Negative,62
506283160167284736,Positive,62
506283490900328449,Neutral,62
506283968371888128,Positive,62
506284266490454016,Negative,62
506284369578053632,Negative,62
506284853319696385,Neutral,62
506284916376883200,Positive,62
506284940758360064,Neutral,62
506284972458901505,Neutral,62
506285065060761601,Neutral,62
506285170971136000,Neutral,62
506285306849423360,Positive,62
506285348906098689,Neutral,62
506285404996517888,Neutral,62
506285404996517888,Neutral,62
506285655715217408,Positive,62
506285719913259008,Neutral,62
506285976579493888,Positive,62
506285981054820352,Neutral,62
506285981054820352,Neutral,62
506286058154500096,Negative,62
506286129927446528,Neutral,62
506286179193745409,Neutral,62
506286396550549506,Neutral,62
506286396550549506,Negative,62
506286463764664321,Neutral,62
506286572124528640,Positive,62
506286651124236289,Neutral,62
506286651124236289,Positive,62
506286893672460288,Neutral,62
506286972282089472,Neutral,62
506287085444427776,Positive,62
506287364466298880,Negative,62
506287666904973313,Negative,62
506287731845398528,Negative,62
506287731845398528,Negative,62
506288097076969472,Neutral,62
506288198906286080,Neutral,62
506288312295120896,Negative,62
506288312295120896,Negative,62
506288458546315264,Positive,62
506288643280211968,Negative,62
506288740487426048,Positive,62
506288740487426048,Positive,62
506288837958459392,Neutral,62
506289036831776769,Negative,62
506289325404065793,Positive,62
506289360757460992,Negative,62
506289429023956992,Neutral,62
506289494245773312,Negative,62
506289563535691778,Neutral,62
506289678476406784,Negative,62
506289744670494724,Neutral,62
506289744670494724,Neutral,62
506289765935620096,Neutral,62
506289814711173120,Negative,62
506290085659443200,Neutral,62
506290178965905408,Neutral,62
506290178965905408,Neutral,62
506290370159058944,Negative,62
506290461422940160,Positive,62
506290591421198336,Positive,62
506290710451326976,Positive,62
506290800633061377,Positive,62
506290832497205250,Neutral,62
506290840147611648,Neutral,62
506290870594064384,Neutral,62
506290945634353152,Neutral,62
506291050848468992,Negative,62
506291083501133826,Negative,62
506291144914112513,Neutral,62
506291184109912065,Negative,62
506291226166185984,Positive,62
506291260278448128,Neutral,62
506291267710758912,Positive,62
506291315379015680,Neutral,62
506291392155365376,Neutral,62
506291527363354624,Neutral,62
506291593838870528,Neutral,62
506291615422763008,Positive,62
506291688424611840,Negative,62
506291776358195201,Negative,62
506291776358195201,Negative,62
506291817181356032,Positive,62
506291817181356032,Positive,62
506291840962686976,Neutral,62
506291840962686976,Neutral,62
506291931333156864,Neutral,62
506292030415597568,Positive,62
506292174267617280,Positive,62
506292212926517249,Positive,62
506292305545158656,Negative,62
506292473963225088,Neutral,62
506292539868336128,Neutral,62
506292539868336128,Neutral,62
506292558432325632,Neutral,62
506292583879176193,Negative,62
506292803912351744,Negative,62
506293027330334720,Positive,62
506293027330334720,Positive,62
506293319941767168,Neutral,62
506293319941767168,Neutral,62
506293419128680448,Neutral,62
506293521989378048,Negative,62
506293612062064640,Neutral,62
506293634560311296,Neutral,62
506293634560311296,Neutral,62
506293774377820161,Negative,62
506293833823690752,Negative,62
506293866585407488,Negative,62
506293941944463360,Positive,62
506293995669315584,Negative,62
506294026375794688,Neutral,62
506294054145908736,Neutral,62
506294054145908736,Neutral,62
506294120261099520,Positive,62
506294161293979648,Negative,62
506294248782962688,Neutral,62
506294399605952512,Positive,62
506294447076691970,Neutral,62
506294460322701312,Negative,62
506294488151904256,Neutral,62
506294488151904256,Neutral,62
506294572042178560,Negative,62
506294626513600513,Negative,62
506294674890715136,Neutral,62
506294674890715136,Neutral,62
506294691827310592,Positive,62
506294699582181377,Neutral,62
506294754611847168,Neutral,62
506294829244895232,Neutral,62
506294916209999872,Neutral,62
506294951173308416,Neutral,62
506295060707966976,Positive,62
506295176277807104,Negative,62
506295176277807104,Negative,62
506295240278700032,Negative,62
506295339020984320,Neutral,62
506295440195997696,Negative,62
506295540985106433,Neutral,62
506295647943667712,Positive,62
506295647943667712,Positive,62
506295672472342528,Negative,62
506295684115738624,Neutral,62
506295708291723264,Negative,62
506295708291723264,Negative,62
506295753787314176,Positive,62
506295845235728384,Negative,62
506295986487296001,Neutral,62
506296076408991744,Positive,62
506296118356230144,Neutral,62
506296221531901952,Negative,62
506296284899471360,Negative,62
506296293313232896,Negative,62
506296302289035264,Negative,62
506296360023633921,Positive,62
506296363886186496,Positive,62
506296451044225024,Positive,62
506296451044225024,Positive,62
506296524754923520,Positive,62
506296575048835072,Neutral,62
506296575707340800,Neutral,62
506296575707340800,Neutral,62
506296618577321984,Negative,62
506296618577321984,Negative,62
506296660671352832,Neutral,62
506296660671352832,Neutral,62
506296690522193921,Negative,62
506296705000947712,Neutral,62
506296766418157568,Negative,62
506296818544947200,Neutral,62
506296861146497025,Positive,62
506296895992786944,Positive,62
506296895992786944,Negative,62
506297007817097217,Neutral,62
506297022543331328,Negative,62
506297022543331328,Neutral,62
506297101362659329,Negative,62
506297177526632448,Positive,62
506297200708964352,Positive,62
506297264416227329,Neutral,62
506297403549700096,Negative,62
506297455521312768,Positive,62
506297482826231808,Negative,62
506297521183133696,Positive,62
506297540112056320,Neutral,62
506297579618205696,Positive,62
506297579618205696,Positive,62
506297657011486720,Negative,62
506297736145436672,Positive,62
506297755786960898,Negative,62
506297755786960898,Negative,62
506297853069647872,Negative,62
506297895277297665,Neutral,62
506297918072963074,Neutral,62
506297918072963074,Neutral,62
506297947139477505,Negative,62
506297991645249538,Negative,62
506298057164853249,Negative,62
506298057164853249,Negative,62
506298070951555073,Neutral,62
506298094305017856,Neutral,62
506298104262705152,Negative,62
506298158734147584,Neutral,62
506298220252000256,Negative,62
506298298903580672,Neutral,62
506298298903580672,Neutral,62
506298315198459904,Neutral,62
506298393397035009,Negative,62
506298457137905664,Positive,62
506298457137905664,Positive,62
506298504051163137,Neutral,62
506298504051163137,Neutral,62
506298623563673600,Negative,62
506298702970228736,Positive,62
506298729260130304,Positive,62
506298782338658304,Negative,62
506298795110326272,Negative,62
506298851838279680,Neutral,62
506298880892624897,Negative,62
506298950400622592,Neutral,62
506298972001271808,Neutral,62
506299050506092544,Negative,62
506299071318220800,Negative,62
506299119485587456,Negative,62
506299160593981440,Positive,62
506299189887004672,Negative,62
506299216558575616,Positive,62
506299259197857792,Negative,62
506299313874800641,Positive,62
506299340680593408,Neutral,62
506299352437252096,Neutral,62
506299432154173440,Positive,62
506299476001452032,Neutral,62
506299478790635520,Negative,62
506299586043191296,Positive,62
506299600991694848,Positive,62
506299654813011968,Neutral,62
506299654813011968,Neutral,62
506299806177034240,Neutral,62
506299853979123712,Neutral,62
506299903019339777,Neutral,62
